name,addr,size,mode,type
bthci_cmd_vs_WritePcmPins,513272,54,THUMB_32,FUNC
q_LeadingOne,931142,34,THUMB_32,FUNC
avct_lcb_chnl_open,1120464,42,THUMB_32,FUNC
btuartcommon_Init,39136,44,THUMB_32,FUNC
irtx_doneHandler,82920,72,THUMB_32,FUNC
bthci_cmd_vs_WriteI2sPcmInterface,513350,56,THUMB_32,FUNC
btm_ble_update_srvc_data_change,933004,32,THUMB_32,FUNC
avct_lcb_open_ind,1120518,148,THUMB_32,FUNC
btuartcommon_LengthOfTXPacketList,39180,36,THUMB_32,FUNC
puart_calculateBaudrate,83020,54,THUMB_32,FUNC
bthci_cmd_vs_ReadAudioRouteInfo,513794,42,THUMB_32,FUNC
mapScalar,943276,74,THUMB_32,FUNC
avct_lcb_close_cfm,1120806,102,THUMB_32,FUNC
btuartcommon_RemoveFromTXPacketListHead,39322,32,THUMB_32,FUNC
puart_setBaudrate,83074,130,THUMB_32,FUNC
bthci_cmd_vs_ReadGoldenRange,514076,32,THUMB_32,FUNC
btm_ble_update_resolving_list,948832,76,THUMB_32,FUNC
avct_lcb_chk_disc,1120944,50,THUMB_32,FUNC
btuartcommon_RemoveFromTXPacketListTail,39354,58,THUMB_32,FUNC
puart_synchronousRead,83418,36,THUMB_32,FUNC
bthci_cmd_vs_LTETriggerWCI2Message,515822,62,THUMB_32,FUNC
btm_ble_remove_resolving_list_entry_complete,948994,50,THUMB_32,FUNC
A2D_SbcDescramble,1122348,104,THUMB_32,FUNC
_lmulp_chooseOnePhyFromMany,39622,64,THUMB_32,FUNC
puart_interruptHandler,83536,92,THUMB_32,FUNC
"XOR_MOD256, XOR_MOD256",524840,36,THUMB_32,FUNC
btm_ble_enable_resolving_list,949924,48,THUMB_32,FUNC
A2D_BldSbcInfo,1122452,118,THUMB_32,FUNC
multi_av_WordAlignedCopy,40984,56,THUMB_32,FUNC
puart_checkRtsPortPin,83750,38,THUMB_32,FUNC
MP_Copy,526070,36,THUMB_32,FUNC
_printf_longlong_hex,952320,92,THUMB_32,FUNC
A2D_BldSbcMplHdr,1122736,52,THUMB_32,FUNC
_coexFWSampleRx,313586,40,THUMB_32,FUNC
multi_av_FastArmCopy,41040,228,THUMB_32,FUNC
puart_checkCtsPortPin,83788,38,THUMB_32,FUNC
MP_CMP,526106,52,THUMB_32,FUNC
__printf,952476,396,THUMB_32,FUNC
avdt_ad_tc_close_ind,1123394,60,THUMB_32,FUNC
uart_CheckReceiveFIFOLevelBytes,41600,60,THUMB_32,FUNC
"puart_checkTxdPortPin, puart_checkTxdPortPin",83826,50,THUMB_32,FUNC
sha256_final,527582,134,THUMB_32,FUNC
_printf_wctomb,952996,188,THUMB_32,FUNC
avdt_ad_tc_open_ind,1123454,104,THUMB_32,FUNC
wiced_bt_l2cap_cancel_ble_connect_req,2585904,44,THUMB_32,FUNC
"puart_checkRxdPortPin, puart_checkRxdPortPin",83876,50,THUMB_32,FUNC
bthci_cmd_lc_GetCommandHandler,527924,66,THUMB_32,FUNC
_printf_longlong_dec,953184,120,THUMB_32,FUNC
avdt_ad_open_req,1123656,74,THUMB_32,FUNC
wiced_hal_gpio_select_rxpu,2585996,56,THUMB_32,FUNC
puart_selectUartPads,83926,326,THUMB_32,FUNC
bthci_cmd_lc_HandlePeriodic_Inquiry_Mode,528100,58,THUMB_32,FUNC
_printf_longlong_oct,953304,76,THUMB_32,FUNC
avdt_process_timeout,1123776,72,THUMB_32,FUNC
wiced_hal_gpio_select_txpu,2586052,52,THUMB_32,FUNC
FSMdefaultTransitTo,84252,60,THUMB_32,FUNC
bthci_cmd_lc_HandleRead_Lmp_Handle,531218,38,THUMB_32,FUNC
q_asm_addc,953424,36,THUMB_32,FUNC
AVDT_DiscoverReq,1124164,64,THUMB_32,FUNC
_bcs_appNotifiTaskDeferredHandler,49452,32,THUMB_32,FUNC
FSMinit,84626,86,THUMB_32,FUNC
bthci_cmd_lc_EnhancedVoiceSetting,532060,134,THUMB_32,FUNC
_printf_int_common,953688,184,THUMB_32,FUNC
AVDT_DelayReport,1124338,42,THUMB_32,FUNC
bcs_appNotifiEnable,49484,52,THUMB_32,FUNC
aclk_updateClkGating,84712,70,THUMB_32,FUNC
GKI_update_timer_list,538084,72,THUMB_32,FUNC
_ll_udiv10,953872,138,THUMB_32,FUNC
AVDT_ConfigRsp,1124470,60,THUMB_32,FUNC
bcs_appNotifiTaskChangeInterval,49588,90,THUMB_32,FUNC
aclk_disableClock,84938,46,THUMB_32,FUNC
GKI_add_to_timer_list,538156,110,THUMB_32,FUNC
__lib_sel_fp_printf,954010,430,THUMB_32,FUNC
AVDT_StartRsp,1124672,58,THUMB_32,FUNC
DHM_CallbackReleaseHCICredits,58010,72,THUMB_32,FUNC
LedCtrl_SetLEDToSleepState,85974,34,THUMB_32,FUNC
GKI_remove_from_timer_list,538266,126,THUMB_32,FUNC
_wcrtomb,955110,64,THUMB_32,FUNC
AVDT_ReconfigReq,1124876,40,THUMB_32,FUNC
DHM_GetSlotsFromLmpBitMap,58082,34,THUMB_32,FUNC
LedCtrl_TimerCallback,86108,372,THUMB_32,FUNC
btm_vsc_cfg_ver_info_complete,538784,40,THUMB_32,FUNC
btm_sco_flush_sco_data,955188,48,THUMB_32,FUNC
AVDT_SecurityRsp,1125000,54,THUMB_32,FUNC
DHM_ReleaseHciListItemReturnBuffer,58298,46,THUMB_32,FUNC
__2snprintf,86512,56,THUMB_32,FUNC
btm_vsc_brcm_features_complete,538942,46,THUMB_32,FUNC
btm_sco_voice_settings_2_legacy,955268,116,THUMB_32,FUNC
AVDT_WriteReqOpt,1125054,52,THUMB_32,FUNC
DHM_GetBBPktInfoPtr,58572,96,THUMB_32,FUNC
_dmaReqInit,86676,110,THUMB_32,FUNC
GAP_SetPairableMode,539648,48,THUMB_32,FUNC
btm_sco_check_send_pkts,955584,48,THUMB_32,FUNC
AVDT_GetSignalChannel,1125262,64,THUMB_32,FUNC
DHM_UpdateACLStats,58668,66,THUMB_32,FUNC
_dmaReqSend,87104,46,THUMB_32,FUNC
GAP_ReadDeviceClass,539936,44,THUMB_32,FUNC
btm_find_scb_by_handle,955632,34,THUMB_32,FUNC
avdt_l2c_disconnect_cfm_cback,1126068,38,THUMB_32,FUNC
config_OTP_get_XTAL_kHz,59532,64,THUMB_32,FUNC
bcs_aclTaskSetTpoll,89714,36,THUMB_32,FUNC
HID_HostGetLeRepDesc,541398,130,THUMB_32,FUNC
BTM_ConfigI2SPCM,955726,44,THUMB_32,FUNC
avdt_l2c_congestion_ind_cback,1126106,42,THUMB_32,FUNC
pmu_PowerDownSRAM,62156,176,THUMB_32,FUNC
bcs_aclTaskReadjustClock,89904,54,THUMB_32,FUNC
PORT_SetState,542140,56,THUMB_32,FUNC
BTM_ConfigScoPath,955770,50,THUMB_32,FUNC
avdt_l2c_data_ind_cback,1126148,44,THUMB_32,FUNC
pmu_PowerUpSRAM,62332,200,THUMB_32,FUNC
_aclTaskQosGrantPostMortem,93250,34,THUMB_32,FUNC
PORT_GetRxQueueCnt,542196,32,THUMB_32,FUNC
btm_is_sco_active,957928,40,THUMB_32,FUNC
avdt_scb_event,1126192,88,THUMB_32,FUNC
hcivs_reset_proximity_vars,63088,66,THUMB_32,FUNC
_aclTaskQosTaskReschedule,94328,134,THUMB_32,FUNC
PORT_GetState,542228,42,THUMB_32,FUNC
BTM_GetNumScoLinks,957968,44,THUMB_32,FUNC
avdt_scb_by_hdl,1126486,46,THUMB_32,FUNC
bb_computeAC,63492,118,THUMB_32,FUNC
_aclTaskGetInfoPtr,95468,48,THUMB_32,FUNC
PORT_Write,543302,92,THUMB_32,FUNC
gatt_determine_sec_act,958428,232,THUMB_32,FUNC
